userId,cp_content_id,cp_name,curr_play_time_min,content_series_id,episode_id,playtime,content_series_name,content_category,streams_flag_final,content_season_id,playablecontent_ty,duration_secs,content_t,event_type,user_session_id,playablecontent_epinum,total_play_time_sec,playablecontent_tvsid,playablecontent_sid,episode_number,content_content_type,content_id,play_session_id,day
YUT7jhSAKR3zaCJ530,1000205382,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1700001135,,28.913833333333333,Tabbar (Marathi),VOD,play_start,SONYLIV_VOD_TVSHOW_1700001135_SEASON_1,EPISODE,1972.0,Jhooth,player_log,873d7c05-cc63-4d81-9bcd-242dca4f6bb5-1772031032560,2.0,1734.595,SONYLIV_VOD_TVSHOW_1700001135,SONYLIV_VOD_TVSHOW_1700001135_SEASON_1,2.0,EPISODE,SONYLIV_VOD_EPISODE_1000205382,4e57062e-9d54-4f43-b84e-90c11f3ffb65,2026-02-25
365390L1edWiLwXjz0,1090487262,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1700000196,,41.08219999999999,CID,VOD,play_start,SONYLIV_VOD_TVSHOW_1700000196_SEASON_2,EPISODE,2462.0,"Do Minute, Do Khoon",player_log,b59bfbb7-d994-4ba0-bd88-1678ecdbd30d-1772006157831,72.0,2464.932,SONYLIV_VOD_TVSHOW_1700000196,SONYLIV_VOD_TVSHOW_1700000196_SEASON_2,72.0,EPISODE,SONYLIV_VOD_EPISODE_1090487262,652bb753-0beb-4be4-b9c1-0f6b88cdc5c1,2026-02-25
9oRZSJnnlcDu6EPBW0,JOHNWICKY2014MKN,LIONSGATEPLAY,0.0,,,0.09028333333333333,,VOD,play_start,,MOVIE,6076.0,John Wick - Kannada,app_generated_action,f80707ec-ef72-4cb5-92a7-14a29999e206-1772037118745,,5.417,,,,MOVIE,LIONSGATEPLAY_MOVIE_JOHNWICKY2014MKN,a8ce1866-8d41-400a-928e-b38f4d82855b,2026-02-25
PfWAZbkCMkZDSUy2R0,180397,MANORAMAMAX,0.0,,,0.9217833333333334,,VOD,play_start,,MOVIE,8100.0,The Case Diary,api_init,c707b61b-8373-447c-8e25-c754e172cb0f-1772027193024,,55.307,,,,MOVIE,MANORAMAMAX_MOVIE_180397,c56a9b5e-308e-4300-8cfc-f32530a3e61f,2026-02-25
wC0hM6BbXyxIvVlKr0,amzn1.dv.gti.509e49a3-8066-4db0-b066-8b91cc72e69e,MINITV,0.0,MINITV_TVSHOW_amzn1.dv.gti.305ffd7f-ba88-4808-bfde-3227aa47bb7d,,21.421216666666666,Co-Ed,VOD,play_start,MINITV_TVSHOW_amzn1.dv.gti.305ffd7f-ba88-4808-bfde-3227aa47bb7d_SEASON_amzn1.dv.gti.b10e0511-21ea-4848-bc4c-a010b9a92724,EPISODE,1794.0,Scarmates,player_log,b97b264c-8fce-4715-b904-6fffc460dd21-1772024221144,2.0,1285.273,MINITV_TVSHOW_amzn1.dv.gti.305ffd7f-ba88-4808-bfde-3227aa47bb7d,MINITV_TVSHOW_amzn1.dv.gti.305ffd7f-ba88-4808-bfde-3227aa47bb7d_SEASON_amzn1.dv.gti.b10e0511-21ea-4848-bc4c-a010b9a92724,2.0,EPISODE,MINITV_EPISODE_amzn1.dv.gti.509e49a3-8066-4db0-b066-8b91cc72e69e,30fdcc2a-fedf-4c91-afb7-be84f5939cff,2026-02-25
UXj4Fml973vIAu7rJ0,1000015343,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1700000083,,6.5588999999999995,The Kapil Sharma Show,VOD,play_start,SONYLIV_VOD_TVSHOW_1700000083_SEASON_1,EPISODE,3979.0,FAN Special with Shah Rukh Khan,player_log,6abca0d6-0015-4c00-bd05-10e37c395149-1772036357501,1.0,322.584,SONYLIV_VOD_TVSHOW_1700000083,SONYLIV_VOD_TVSHOW_1700000083_SEASON_1,1.0,EPISODE,SONYLIV_VOD_EPISODE_1000015343,60be2dcc-4972-419f-a9d0-fda51c38df1b,2026-02-25
ZDGTspyZLSmUWcJ9a0,1000037020,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1700000084,,20.736833333333333,Taarak Mehta Ka Ooltah Chashmah,VOD,play_start,SONYLIV_VOD_TVSHOW_1700000084_SEASON_6,EPISODE,1254.0,Taarak Mehta Ka Ooltah Chashmah – Sodhi's Party,player_log,5077429-1772037642830,599.0,1244.0,SONYLIV_VOD_TVSHOW_1700000084,SONYLIV_VOD_TVSHOW_1700000084_SEASON_6,599.0,EPISODE,SONYLIV_VOD_EPISODE_1000037020,5077429-1772037642830-43679282-1772041383583,2026-02-25
krH7jngl8lYOoPfE-0,1000117842,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1700000107,,23.63406666666667,Mere Sai - Shraddha Aur Saburi,VOD,play_start,SONYLIV_VOD_TVSHOW_1700000107_SEASON_9,EPISODE,1440.0,Rama Ka Ateet,player_log,f08925e0-bf43-4b22-81b2-4d5b19d3cf46-1772031927062,872.0,1418.044,SONYLIV_VOD_TVSHOW_1700000107,SONYLIV_VOD_TVSHOW_1700000107_SEASON_9,872.0,EPISODE,SONYLIV_VOD_EPISODE_1000117842,2801225e-a321-4c04-9301-ac9489785c28,2026-02-25
klCcgC1-whb8lR0Jm0,1000249270,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1700001283,,3.0782000000000003,Scam 2003: The Telgi Story,VOD,play_start,SONYLIV_VOD_TVSHOW_1700001283_SEASON_1,EPISODE,2110.0,Logic Ka Magic,play_pause,2bd8d65c-c279-41e6-b88c-d35e3832746e-1772039046739,7.0,184.644,SONYLIV_VOD_TVSHOW_1700001283,SONYLIV_VOD_TVSHOW_1700001283_SEASON_1,7.0,EPISODE,SONYLIV_VOD_EPISODE_1000249270,39b9e9b2-9b33-4dfa-8a05-b215e6d871ab,2026-02-25
QoE57LBVBumh35H6N0,1090485063,SONYLIV_VOD,0.0,SONYLIV_VOD_TVSHOW_1700000084,,2.112616666666667,Taarak Mehta Ka Ooltah Chashmah,VOD,play_session_end,SONYLIV_VOD_TVSHOW_1700000084_SEASON_44,EPISODE,1338.0,Bawri Bani Customer,play_resume,62038030-1772004031101,4451.0,126.0,SONYLIV_VOD_TVSHOW_1700000084,SONYLIV_VOD_TVSHOW_1700000084_SEASON_44,4451.0,EPISODE,SONYLIV_VOD_EPISODE_1090485063,62038030-1772004031101-31009391-1772004040606,2026-02-25
